model,accuracy,precision,recall,f1,auc_test,auc_cv
"Logistic Regression (balanced, thr=0.45)",0.66,0.4231,0.8462,0.5641,0.6902,0.6808
"Decision Tree (balanced, thr=0.4)",0.7,0.4545,0.7692,0.5714,0.7183,0.6751
